validation_data,loss_dec,loss,epoch
0.6620423363314735,1.250384317504035,1.9124266538355084,0
0.5358014297154214,0.9825470050175985,1.5183484347330198,1
0.438238053686089,0.8807340204301808,1.3189720741162698,2
0.3725285645988252,0.9631095754189624,1.3356381400177875,3
0.3152499886022674,0.7554845372732315,1.070734525875499,4
0.27431229915883804,0.5626054221971167,0.8369177213559548,5
0.24034223498569596,0.5361069334127629,0.7764491683984589,6
0.2152968690627151,0.5198779968648322,0.7351748659275472,7
0.19385742644468942,0.5389636986268064,0.7328211250714958,8
0.17554956840144265,0.4467901258160257,0.6223396942174684,9
0.16059443768527773,0.5303887559825348,0.6909831936678125,10
0.14986294301019776,0.33277545544681036,0.4826383984570081,11
0.13832969218492508,0.18046597253770516,0.3187956647226302,12
0.13125982363190916,0.6164140703234201,0.7476738939553292,13
0.1223473126689593,0.5511360438152527,0.673483356484212,14
0.11713344831433561,0.31385575205139404,0.43098920036572963,15
0.11243923670715755,0.7194930223955048,0.8319322591026623,16
0.10049114603963163,0.249753829512176,0.35024497555180767,17
0.09450748542116748,0.2695078071653067,0.3640152925864742,18
0.08863348389665286,0.15572305968897934,0.2443565435856322,19
0.08547977585759428,0.2166405523247603,0.30212032818235457,20
0.08312915948530038,0.4951459498818925,0.5782751093671928,21
0.0822654529992077,0.276571557075335,0.3588370100745427,22
0.07473548232681221,0.49540712622021804,0.5701426085470302,23
0.0720982686099079,0.3984494693755146,0.4705477379854225,24
