validation_data,loss_dec,loss,epoch
0.6422829560148038,0.7653828331125461,1.4076657891273499,0
0.48314084948562996,0.5507439183510416,1.0338847678366716,1
0.3792846338535712,0.5702304229503725,0.9495150568039437,2
0.30829046460671156,0.42722576759695036,0.7355162322036619,3
0.25662283538802855,0.42944796419725184,0.6860707995852804,4
0.21863631940469508,0.3564938664194045,0.5751301858240996,5
0.19006200486082372,0.3971103337722096,0.5871723386330333,6
0.16708354857878957,0.36172774228138654,0.5288112908601761,7
0.14889566975880444,0.36213406387383373,0.5110297336326382,8
0.13432445637578885,0.34005261824383,0.47437707461961887,9
0.12181386739257874,0.29074645575469105,0.41256032314726976,10
0.11161846528208352,0.2991830876203087,0.41080155290239223,11
0.1029395003144334,0.33302829808335965,0.43596779839779304,12
0.09577068371501396,0.30177611227684875,0.3975467959918627,13
0.08878751014306294,0.2609249156543879,0.3497124257974509,14
0.08345183512059653,0.2694080273916082,0.3528598625122047,15
0.07840061211973672,0.2320244547615691,0.31042506688130583,16
0.07362782385775714,0.25689696441820964,0.33052478827596676,17
0.06954664682469718,0.17548227285951135,0.24502891968420853,18
0.06592028606228711,0.16120988418295132,0.22713017024523843,19
0.06261789362605025,0.25026734318675065,0.3128852368128009,20
0.05954229904384148,0.20711142079132358,0.26665371983516506,21
0.05700324088092742,0.13749484745104137,0.1944980883319688,22
0.054666520376515586,0.2758453544683573,0.3305118748448729,23
0.0524633622508708,0.1374319630667446,0.1898953253176154,24
0.0503414918979009,0.2604857504488976,0.3108272423467985,25
0.04842229163259026,0.18268571427561403,0.2311080059082043,26
0.04669277624386113,0.26523631426498173,0.3119290905088429,27
0.04508107621979907,0.12845515839876684,0.1735362346185659,28
0.0434936537006037,0.31915581523160624,0.36264946893220995,29
0.04210503696183848,0.13071744964738202,0.1728224866092205,30
0.040629312335475676,0.13324300387525947,0.17387231621073515,31
0.03930466343474582,0.11005329081743229,0.1493579542521781,32
0.038109827090085036,0.1008665926633327,0.13897641975341773,33
0.03691767507452306,0.11597851041431834,0.1528961854888414,34
0.035832611283635706,0.07662931711571973,0.11246192839935543,35
0.03480773667494456,0.09590591293403773,0.1307136496089823,36
0.03382948277200141,0.08929762291358556,0.12312710568558696,37
0.03289596191266688,0.10326868575066328,0.13616464766333017,38
0.032051209027205055,0.1359191727938085,0.16797038182101354,39
0.03119520497758214,0.24998581336765754,0.2811810183452397,40
0.030528542653816503,0.09214223972786732,0.12267078238168383,41
0.029795283587967476,0.15381671585203185,0.18361199943999934,42
0.029041329111025586,0.0705019323821596,0.09954326149318518,43
0.028327580874528344,0.08486536389777088,0.11319294477229923,44
0.02765417850114466,0.19366599642860938,0.22132017492975403,45
0.027152562105074163,0.10158164478172131,0.1287342068867955,46
0.0265299363470659,0.05998487157626002,0.08651480792332591,47
0.026005017442431878,0.11720504713191734,0.14321006457434923,48
0.025443212954494043,0.05584522716065005,0.08128844011514409,49
0.024962921452716114,0.13765316671593403,0.16261608816865014,50
0.024403296471611272,0.05217640830309895,0.07657970477471022,51
0.023942165864192372,0.04708590337294873,0.07102806923714111,52
0.02345812296479698,0.06487433886064625,0.08833246182544323,53
0.023044922729817834,0.09839768421919487,0.12144260694901271,54
0.022699274122714996,0.1948960778432164,0.21759535196593138,55
0.022289075502535192,0.07170043507121443,0.09398951057374963,56
0.02185077613931361,0.04604201755539431,0.06789279369470792,57
0.02149662048351474,0.09637528853263796,0.1178719090161527,58
0.02110801061721352,0.05376518130060134,0.07487319191781486,59
0.02076607548851308,0.1133751395400765,0.13414121502858958,60
0.020453274825481864,0.0931253064408656,0.11357858126634746,61
0.020102614854894032,0.0447166844922292,0.06481929934712323,62
0.019777647757191,0.027894379574866072,0.04767202733205707,63
0.019433542995191202,0.04119928052073451,0.06063282351592571,64
0.019086078415072063,0.04123665821905119,0.060322736634123256,65
0.01879192746388234,0.06340145560102613,0.08219338306490846,66
0.018577338658212646,0.03937198751704479,0.05794932617525744,67
0.01831308985507585,0.020769624031959026,0.03908271388703488,68
0.018019235897354963,0.03094375601257917,0.04896299190993413,69
0.01776150283895857,0.033878568003363,0.05164007084232157,70
0.01749347268444736,0.025485361935722272,0.04297883462016963,71
0.017248865762134878,0.03292962273855398,0.05017848850068886,72
0.016986190757858073,0.05571168827033049,0.07269787902818856,73
0.016788870277928143,0.07784905184128481,0.09463792211921296,74
0.016537108284428836,0.050314312100380176,0.06685142038480901,75
0.016301032064891443,0.026840191413989155,0.043141223478880594,76
0.016088611105593238,0.03625079846706211,0.05233940957265535,77
0.01586860345631111,0.1292480542721999,0.145116657728511,78
0.01569474191685033,0.06206644429423945,0.07776118621108978,79
0.015456382821245892,0.05660133923752218,0.07205772205876808,80
0.015250834537957742,0.042729539898928345,0.057980374436886084,81
0.015071230781514471,0.04034979278373161,0.05542102356524608,82
0.014890451680838577,0.04901746658956617,0.06390791827040475,83
0.014721510310967764,0.024206649867923764,0.03892816017889153,84
0.014562684770037488,0.05846762475349403,0.07303030952353151,85
0.014364837509829824,0.014616394337887565,0.02898123184771739,86
0.014199227034076443,0.06783391263835677,0.08203313967243321,87
0.014044479292824985,0.027020714177591044,0.041065193470416025,88
0.013886487823191697,0.02538313091225256,0.03926961873544425,89
0.013724295770734305,0.015716265077793563,0.02944056084852787,90
