validation_data,loss_dec,loss,epoch
0.6783757225887196,0.5940936864227861,1.2724694090115056,0
0.5669282803664336,0.17105111955488855,0.7379793999213222,1
0.4807767964698173,0.08101396495161729,0.5617907614214346,2
0.4124763221354098,0.019352699596925663,0.43182902173233545,3
0.3589315180842941,0.012980792347366947,0.371912310431661,4
0.3179283166253889,0.04223516587375638,0.36016348249914526,5
0.28510779625660665,0.02628550255699461,0.3113932988136013,6
0.254318169645361,0.0051677860760104815,0.2594859557213715,7
0.2303504420293344,0.013853551811071401,0.2442039938404058,8
0.21010127824706,0.0068638082420629624,0.21696508648912297,9
0.1922955436481012,0.015717354827486544,0.20801289847558774,10
0.17812342659847155,0.008237630672394173,0.18636105727086572,11
0.1645657428213068,0.0020997714710648398,0.1666655142923716,12
0.15312655431193276,0.0010650470271561848,0.15419160133908894,13
0.1437605736223427,0.015930423875672842,0.15969099749801555,14
0.1346031185742971,0.002180920173142678,0.13678403874743977,15
0.12814912884622007,0.08562599631693808,0.21377512516315816,16
0.12044944473215051,0.0030349682860400505,0.12348441301819056,17
0.11364075279719121,0.0010216896353577377,0.11466244243254894,18
0.10768980975892092,0.01679589083308914,0.12448570059201006,19
0.10259469095114115,0.021263030200734157,0.12385772115187531,20
0.09758557641022914,0.0051083914668934825,0.10269396787712262,21
0.0930446100396079,0.0011186244820065268,0.09416323452161443,22
0.08994267800369778,0.02615592604352797,0.11609860404722575,23
0.08581067239110535,0.0017045591890023756,0.08751523158010772,24
