validation_data,loss_dec,loss,epoch
0.6634052778647198,0.510997584195641,1.1744028620603608,0
0.5081648652146502,0.37438539324737174,0.882550258462022,1
0.4016264018004503,0.3402641454363257,0.741890547236776,2
0.32483976788637114,0.25849832739771866,0.5833380952840899,3
0.27448415223175915,0.23881168045648715,0.5132958326882463,4
0.2334736130101894,0.2393198152625464,0.4727934282727358,5
0.20132788894622305,0.18556736760992346,0.38689525655614654,6
0.17810700773223628,0.17091367799576704,0.3490206857280033,7
0.1558395822842916,0.08676609151610513,0.24260567380039672,8
0.1433686841794146,0.14855261655842386,0.29192130073783845,9
0.13007377172873272,0.15223943436048865,0.2823132060892214,10
0.11855583922649787,0.09291719739151195,0.2114730366180098,11
0.10843966234990252,0.046410966255679365,0.15485062860558188,12
